year,score,total_count,total_cumulative,physics_count,physics_cumulative,chemistry_count,chemistry_cumulative,biology_count,biology_cumulative,politics_count,politics_cumulative,history_count,history_cumulative,geography_count,geography_cumulative
2025,202,276,672903,50,304220,41,289956,95,260243,206,358871,223,363497,213,441902
2025,201,273,673176,58,304278,53,290009,89,260332,199,359070,219,363716,201,442103
2025,200,281,673457,64,304342,56,290065,91,260423,207,359277,214,363930,210,442313
2025,199,290,673747,52,304394,41,290106,94,260517,226,359503,233,364163,223,442536
2025,198,281,674028,60,304454,50,290156,91,260608,208,359711,222,364385,211,442747
2025,197,262,674290,48,304502,38,290194,73,260681,196,359907,217,364602,214,442961
2025,196,255,674545,50,304552,42,290236,87,260768,186,360093,200,364802,199,443160
2025,195,229,674774,55,304607,49,290285,78,260846,166,360259,175,364977,164,443324
2025,194,219,674993,41,304648,40,290325,69,260915,160,360419,167,365144,173,443497
2025,193,217,675210,45,304693,39,290364,68,260983,163,360582,172,365316,162,443659
2025,192,231,675441,54,304747,48,290412,85,261068,161,360743,172,365488,172,443831
2025,191,246,675687,51,304798,47,290459,73,261141,184,360927,193,365681,190,444021
2025,190,215,675902,41,304839,44,290503,77,261218,150,361077,167,365848,166,444187
2025,189,207,676109,46,304885,36,290539,74,261292,149,361226,161,366009,154,444341
2025,188,206,676315,28,304913,22,290561,59,261351,164,361390,175,366184,170,444511
2025,187,229,676544,47,304960,39,290600,74,261425,177,361567,178,366362,170,444681
2025,186,181,676725,34,304994,32,290632,53,261478,142,361709,145,366507,136,444817
2025,185,176,676901,35,305029,32,290664,59,261537,135,361844,136,366643,129,444946
2025,184,177,677078,37,305066,31,290695,52,261589,132,361976,145,366788,132,445078
2025,183,163,677241,33,305099,26,290721,46,261635,128,362104,126,366914,129,445207
2025,182,177,677418,35,305134,38,290759,56,261691,133,362237,132,367046,133,445340
2025,181,141,677559,22,305156,22,290781,49,261740,105,362342,118,367164,106,445446
2025,180,181,677740,42,305198,35,290816,64,261804,129,362471,140,367304,133,445579
2025,179,165,677905,36,305234,33,290849,53,261857,118,362589,126,367430,126,445705
2025,178,152,678057,26,305260,17,290866,50,261907,116,362705,125,367555,119,445824
2025,177,139,678196,27,305287,23,290889,48,261955,104,362809,108,367663,104,445928
2025,176,145,678341,35,305322,28,290917,43,261998,109,362918,113,367776,107,446035
2025,175,123,678464,22,305344,24,290941,39,262037,91,363009,101,367877,92,446127
2025,174,142,678606,30,305374,25,290966,47,262084,104,363113,109,367986,107,446234
